date,capacity_mw,month,year,season,mwincrease,decay,sumdecay,adjustedcapacity,ghi_kwh_m2_day,capacity_factor,generation_gwh
2024-11,532.703,11,2024,Spring,56.936999999999955,0.24494500000000016,1.828925,530.874075,5.9784,0.2491,95.21332709939999
2024-12,565.006,12,2024,Summer,32.303,0.03568,1.8646049999999998,563.141395,6.8789,0.2866208333333333,120.0875936040305
2025-01,572.114,1,2025,Summer,7.108000000000061,0.027275000000000205,1.89188,570.22212,6.3631,0.2651291666666667,112.47979152493203
2025-02,581.608,2,2025,Summer,9.493999999999915,0.037879999999999824,1.92976,579.67824,6.0958,0.25399166666666667,98.94087323
2025-03,606.036,3,2025,Autumn,24.427999999999997,0.04122,1.97098,604.0650199999999,4.997,0.20820833333333333,93.57390005313998
2025-04,614.637,4,2025,Autumn,8.600999999999999,0.047975,2.0189549999999996,612.6180449999999,2.7708,0.11545,50.92326237257999
2025-05,646.856,5,2025,Autumn,32.21900000000005,0.08383,2.102785,644.753215,2.1454,0.089391667,42.880859971290995
2025-06,656.155,6,2025,Winter,9.298999999999978,0.041015,2.1437999999999997,654.0111999999999,1.577,0.065708333,30.941269871999992
2025-07,685.126,7,2025,Winter,28.971000000000004,0.040265,2.1840649999999995,682.941935,1.8127,0.075529167,38.37703421280949
2025-08,737.497,8,2025,Winter,52.37099999999998,0.035589999999999976,2.2196549999999995,735.277345,3.0276,0.12615,69.00989638
2025-09,772.184,9,2025,Spring,34.68700000000001,0.058120000000000116,2.2777749999999997,769.906225,4.0454,0.16855833333333334,93.43735927844999
2025-10,791.118,10,2025,Spring,18.934000000000083,0.072255,2.35003,788.7679700000001,5.0993,0.21247083333333336,124.68709979205104
2025-11,835.716,11,2025,Spring,44.597999999999956,0.2846849999999998,2.6347149999999995,833.081285,6.4058,0.26690833333333336,160.0965629
